C,Category,English File Link,Toto File Link,Image Link
Milk,Food,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/audio/words/Milk_eng.mp3,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/audio/words/Milk_toto.mp3,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/images/Words/MILK.png
Moon,Nature,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/audio/words/Moon_english.mp3,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/audio/words/Moon_toto.mp3,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/images/Words/moon.png
Mountain,Nature,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/audio/words/Mountain_eng.mp3,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/audio/words/Mountain_toto.mp3,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/images/Words/mountains.png
Mouth,Body Parts,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/audio/words/Mouth_eng.mp3,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/audio/words/Mouth_toto.mp3,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/images/Words/mouth.png
Nose,Body Parts,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/audio/words/Nose_eng.mp3,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/audio/words/Nose_toto.mp3,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/images/Words/nose.png
Rain,Nature,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/audio/words/Rain_eng.mp3,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/audio/words/Rain_toto.mp3,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/images/Words/rain.png
Rice,Food,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/audio/words/Rice_eng.mp3,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/audio/words/Rice_toto.mp3,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/images/Words/rice.png
River,Nature,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/audio/words/River_eng.mp3,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/audio/words/River_toto.mp3,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/images/Words/river.png
Riverbank,Places,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/audio/words/Riverbank_eng.mp3,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/audio/words/Riverbank_toto.mp3,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/images/Words/riverbank.png
Run,Actions,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/audio/words/Run_eng.mp3,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/audio/words/Run_toto.mp3,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/images/Words/RUN.png
Sad,Emotions,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/audio/words/Sad_eng.mp3,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/audio/words/Sad_toto.mp3,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/images/Words/SAD.png
Salt,Food,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/audio/words/Salt_eng.mp3,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/audio/words/Salt_toto.mp3,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/images/Words/salt.png
School,Places,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/audio/words/School_eng.mp3,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/audio/words/School_toto.mp3,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/images/Words/school.png
Sister,Family,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/audio/words/Sister_eng.mp3,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/audio/words/Sister_toto.mp3,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/images/Words/sister.png
Sit,Actions,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/audio/words/Sit_eng.mp3,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/audio/words/Sit_toto.mp3,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/images/Words/sit.png
Sleep,Actions,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/audio/words/Sleep_eng.mp3,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/audio/words/Sleep_toto.mp3,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/images/Words/sleep.png
Stand,Actions,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/audio/words/Stand_eng.mp3,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/audio/words/Stand_toto.mp3,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/images/Words/stand.png
Star,Nature,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/audio/words/Star_eng.mp3,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/audio/words/Star_toto.mp3,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/images/Words/star%20(1).png
Stomach,Body Parts,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/audio/words/Stomach_eng.mp3,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/audio/words/Stomach_toto.mp3,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/images/Words/stomach.png
Sugar,Food,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/audio/words/Sugar_eng.mp3,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/audio/words/Sugar_toto.mp3,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/images/Words/sugar.png
Sun,Nature,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/audio/words/Sun_eng.mp3,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/audio/words/Sun_toto.mp3,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/images/Words/sun.png
Tree,Nature,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/audio/words/Tree_eng.mp3,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/audio/words/Tree_toto.mp3,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/images/Words/tree.png
Village,Community,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/audio/words/Village_eng.mp3,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/audio/words/Village_toto.mp3,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/images/Words/village.png
Walk,Actions,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/audio/words/Walk_eng.mp3,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/audio/words/Walk_toto.mp3,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/images/Words/walk.png
Water,Nature,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/audio/words/Water_eng.mp3,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/audio/words/Water_toto.mp3,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/images/Words/water.png
